"","can_party","general_votes","ttl_disb","state","lamvotes","tvotes","tdisb","disb","votes"
"1","DEM",112089,36844,"AL",3605.39335945379,-0.347905479196234,-0.93752961422306,10.5144480621081,12563943921
"2","DEM",94549,7348,"AL",3216.7246285302,-0.524323202417669,-0.851519335897007,8.90218344633502,8939513401
"3","DEM",102234,61251.11,"AL",3389.71277600833,-0.468745233118274,-0.883333406154717,11.0227372506917,10451790756
"4","DEM",83709,197378.52,"AL",2964.58527635237,-0.684467926526405,-0.72904297373793,12.1928785854711,7007196681
"5","DEM",229330,1087017.93,"AL",5825.35937682276,0.999998561301462,0.00169628859776762,13.8989486609075,52592248900
"6","DEM",111019,1098098.09,"AK",3582.28791059706,-0.999443677028547,0.0333517083169285,13.9090902322163,12325218361
"7","DEM",1581,38167.44,"AS",206.098954631454,-0.89657103136724,-0.44289997258194,10.5497380751118,2499561
"8","DEM",978,8243,"AS",148.978262700016,-0.892323455682615,-0.45139655563444,9.01711963431323,956484
"9","DEM",142219,1588705.07,"AZ",4229.15459191572,0.16194954983827,0.9867990389675,14.2784298209915,20226243961
"10","DEM",148973,642529.38,"AZ",4362.73379060595,0.392149006309547,-0.919901710429128,13.3731678223325,22192954729
"11","DEM",81296,35258.96,"AZ",2907.02405896871,-0.63857458547969,-0.769559938393003,10.4704749603382,6609039616
"12","DEM",114940,18649.88,"AZ",3666.60517841554,-0.307273230325149,-0.951621333265258,9.83359499073491,13211203600
"13","DEM",122866,6623.91,"AZ",3834.20584612545,-0.20008952262364,-0.979777619123974,8.79844110901627,15096053956
"14","DEM",119465,734379.24,"AZ",3762.74011735793,-0.615335483114742,-0.788265338080996,13.506780849915,14271886225
"15","DEM",169055,2441662.77,"AZ",4748.6207864453,0.34736982002631,0.937728216561115,14.7081898282936,28579593025
"16","DEM",111347,28822.83,"AR",3589.37848216223,-0.354618983233559,-0.935010896583776,10.2689230604301,12398154409
"17","DEM",128588,134916.57,"CA",3952.9884617821,-0.136229208753954,-0.99067734539671,11.8124118663799,16534873744
"18","DEM",254194,757560.62,"CA",6241.40123465907,0.984492461841856,-0.175426886698023,13.5378588395664,64614589636
"19","DEM",152513,879539.66,"CA",4431.94706271992,0.765393643525704,-0.643562406026368,13.6871539359464,23260215169
"20","DEM",130845,90885.98,"CA",3999.35936340588,-0.0954337172692044,-0.995435786782945,11.4173610328465,17120414025
"21","DEM",224526,2015932.06,"CA",5743.29333447766,0.827151985437589,0.561978285155801,14.5165922072087,50411924676
"22","DEM",177565,1003549.57,"CA",4907.52555057094,0.991981767188453,-0.126381064901642,13.8190538431086,31529329225
"23","DEM",152133,4192531.21,"CA",4424.54298385282,0.0763191845978364,0.997083437863814,15.2488152168975,23144449689
"24","DEM",83035,31604.31,"CA",2948.56301752893,-0.625201911064386,-0.780463048709829,10.3610487826795,6894811225
"25","DEM",133163,1154434.25,"CA",4046.70959859952,-0.645104305714232,0.764094519512448,13.9591209550938,17732384569
"26","DEM",116470,1586983.34,"CA",3699.24791930955,-0.537488077298869,0.843271348239441,14.2773455016589,13565260900
"27","DEM",214868,425816.84,"CA",5576.5299923288,0.879870875547935,-0.4752128390127,12.9617645797435,46168257424
"28","DEM",274035,3577235.57,"CA",6563.81751220489,0.652381299374832,0.757890915782743,15.090100872936,75095181225
"29","DEM",293117,1374381.11,"CA",6866.70333258652,0.993043982201163,0.117743999482169,14.1335140859384,85917575689
"30","DEM",231630,609007.1,"CA",5864.44883547882,0.952179054372947,-0.305540583905706,13.3195852050806,53652456900
"31","DEM",198578,1370215.24,"CA",5289.52323276061,0.958853021384055,0.283902947118676,14.130478394953,39433222084
"32","DEM",97473,1760735.77,"CA",3283.07124924501,-0.674366340439698,0.738396938564868,14.3812423307917,9500985729
"33","DEM",142268,3679115.6,"CA",4230.13114392766,0.0321678434950853,0.999482481009485,15.1181829551752,20240183824
"34","DEM",90924,2984634.37,"CA",3133.52384492921,-0.354358129037691,0.935109788412519,14.9089878081942,8267173776
"35","DEM",230460,1315754.03,"CA",5844.58028446171,0.987754915002128,0.156013550338227,14.0899204661032,53111811600
"36","DEM",181802,1157330.99,"CA",4985.70186189794,0.994673874056187,0.103072228413175,13.9616270413226,33051967204
"37","DEM",180980,1056631.2,"CA",4970.58266273143,0.999179982989423,-0.0404890305299542,13.8705962919533,32753760400
"38","DEM",57282,655395.26,"CA",2298.87575717969,-0.945528582611201,-0.325539090533309,13.3929937829961,3281227524
"39","DEM",74468,40357.4,"CA",2740.99643323829,-0.683427107717546,-0.730018758962281,10.6055300521744,5545483024
"40","DEM",166034,3120305.56,"CA",4691.57936367499,0.218325673709741,0.975875965581276,14.9534414908877,27567289156
"41","DEM",122406,1703542.69,"CA",3824.57833540053,-0.34475848032492,0.938691424401039,14.3482205759394,14983228836
"42","DEM",169248,2023025.27,"CA",4752.2534592924,0.474402144957762,0.880308244230096,14.5201046074213,28644885504
"43","DEM",168977,821116.26,"CA",4747.15227131994,0.88528044835098,-0.465057553177547,13.6184199862045,28553226529
"44","DEM",210883,973437.67,"CA",5507.00360968396,0.995421644701395,-0.0955811135108308,13.7885890750368,44471639689
"45","DEM",128407,1615771.97,"CA",3949.25816533344,-0.243597789723687,0.969876341005251,14.2953234004333,16488357649
