"","cand_pty_affiliation","general_votes","ttl_disb","can_party","disb","votes"
"105","REP",88269,362037.43,"REP",12.7995028832528,88269
"106","DEM",192490,679228.98,"DEM",13.4287135809136,192490
"107","DEM",163590,1501063.31,"DEM",14.2216842882737,163590
"108","REP",150777,3663387.68,"REP",15.1138988729065,150777
"109","DEM",112679,76513.51,"DEM",11.2452226055296,112679
"110","DEM",106554,613085.03,"DEM",13.3262589165549,106554
"111","DEM",128164,999113.21,"DEM",13.8146233745334,128164
"112","REP",69159,252473.09,"REP",12.4390599477607,69159
"113","REP",149547,1276116.53,"REP",14.0593320631685,149547
"114","DEM",104689,159128.08,"DEM",11.9774646915247,104689
"115","DEM",167017,1050764.92,"DEM",13.8650289521479,167017
"116","REP",52499,3196.12,"REP",8.06969285311496,52499
"117","DEM",93124,1896569.59,"DEM",14.4555573333477,93124
"118","DEM",85289,1941619.49,"DEM",14.479032971457,85289
"119","REP",182618,1690947.44,"REP",14.3407995451978,182618
"120","DEM",129231,117761.42,"DEM",11.6764159923139,129231
"121","DEM",115248,918038.25,"DEM",13.7299943354013,115248
"122","DEM",49345,273993.85,"DEM",12.5208609398628,49345
"123","DEM",154759,590221.68,"DEM",13.2882534741271,154759
"124","REP",88109,68687.81,"REP",11.1373270243296,88109
"125","REP",178701,659108.23,"REP",13.3986430336872,178701
"126","DEM",127715,102343.67,"DEM",11.5360917425721,127715
"127","REP",155888,6311313.06,"REP",15.6578543047869,155888
"128","DEM",154267,2051589.43,"DEM",14.5341253824076,154267
"129","REP",179937,936452.99,"REP",13.7498546020623,179937
"130","DEM",103646,23654.09,"DEM",10.0712913176571,103646
"131","DEM",145162,1069031.38,"DEM",13.8822635441133,145162
"132","REP",54362,76403.12,"REP",11.2437788120171,54362
"133","DEM",181253,2600005.82,"DEM",14.7710242414507,181253
"134","REP",139403,1438632.75,"REP",14.1792037413446,139403
"135","DEM",198988,470870.68,"DEM",13.0623387705429,198988
"136","REP",97968,121239.19,"REP",11.705520650186,97968
