"","cand_pty_affiliation","general_votes","ttl_disb","can_party","disb","votes"
"1","DEM",112089,36844,"DEM",10.5144480621081,112089
"2","DEM",94549,7348,"DEM",8.90218344633502,94549
"3","DEM",102234,61251.11,"DEM",11.0227372506917,102234
"4","DEM",83709,197378.52,"DEM",12.1928785854711,83709
"5","DEM",229330,1087017.93,"DEM",13.8989486609075,229330
"6","DEM",111019,1098098.09,"DEM",13.9090902322163,111019
"7","DEM",1581,38167.44,"DEM",10.5497380751118,1581
"8","DEM",978,8243,"DEM",9.01711963431323,978
"9","DEM",142219,1588705.07,"DEM",14.2784298209915,142219
"10","DEM",148973,642529.38,"DEM",13.3731678223325,148973
"11","DEM",81296,35258.96,"DEM",10.4704749603382,81296
"12","DEM",114940,18649.88,"DEM",9.83359499073491,114940
"13","DEM",122866,6623.91,"DEM",8.79844110901627,122866
"14","DEM",119465,734379.24,"DEM",13.506780849915,119465
"15","DEM",169055,2441662.77,"DEM",14.7081898282936,169055
"16","DEM",111347,28822.83,"DEM",10.2689230604301,111347
"17","DEM",128588,134916.57,"DEM",11.8124118663799,128588
"18","DEM",254194,757560.62,"DEM",13.5378588395664,254194
"19","DEM",152513,879539.66,"DEM",13.6871539359464,152513
"20","DEM",130845,90885.98,"DEM",11.4173610328465,130845
"21","DEM",224526,2015932.06,"DEM",14.5165922072087,224526
"22","DEM",177565,1003549.57,"DEM",13.8190538431086,177565
"23","DEM",152133,4192531.21,"DEM",15.2488152168975,152133
"24","DEM",83035,31604.31,"DEM",10.3610487826795,83035
"25","DEM",133163,1154434.25,"DEM",13.9591209550938,133163
"26","DEM",116470,1586983.34,"DEM",14.2773455016589,116470
"27","DEM",214868,425816.84,"DEM",12.9617645797435,214868
"28","DEM",274035,3577235.57,"DEM",15.090100872936,274035
"29","DEM",293117,1374381.11,"DEM",14.1335140859384,293117
"30","DEM",231630,609007.1,"DEM",13.3195852050806,231630
"31","DEM",198578,1370215.24,"DEM",14.130478394953,198578
"32","DEM",97473,1760735.77,"DEM",14.3812423307917,97473
"33","DEM",142268,3679115.6,"DEM",15.1181829551752,142268
"34","DEM",90924,2984634.37,"DEM",14.9089878081942,90924
"35","DEM",230460,1315754.03,"DEM",14.0899204661032,230460
"36","DEM",181802,1157330.99,"DEM",13.9616270413226,181802
"37","DEM",180980,1056631.2,"DEM",13.8705962919533,180980
"38","DEM",57282,655395.26,"DEM",13.3929937829961,57282
"39","DEM",74468,40357.4,"DEM",10.6055300521744,74468
"40","DEM",166034,3120305.56,"DEM",14.9534414908877,166034
"41","DEM",122406,1703542.69,"DEM",14.3482205759394,122406
"42","DEM",169248,2023025.27,"DEM",14.5201046074213,169248
"43","DEM",168977,821116.26,"DEM",13.6184199862045,168977
"44","DEM",210883,973437.67,"DEM",13.7885890750368,210883
"45","DEM",128407,1615771.97,"DEM",14.2953234004333,128407
"46","DEM",43417,70834.33,"DEM",11.1680990491677,43417
"47","DEM",205279,523951.14,"DEM",13.1691537146809,205279
"48","DEM",121070,2011901.87,"DEM",14.5145910366466,121070
"49","DEM",114926,855099.07,"DEM",13.6589726125514,114926
"50","DEM",71720,187039.02,"DEM",12.1390725371712,71720
"51","DEM",219397,1116571.91,"DEM",13.9257737548162,219397
"52","DEM",122842,1668558.97,"DEM",14.3274709196716,122842
"53","DEM",36314,1.8,"DEM",0.587786664902119,36314
"54","DEM",124044,443521.07,"DEM",13.0025005880587,124044
"55","DEM",144348,2603224.23,"DEM",14.7722613231786,144348
"56","DEM",192490,679228.98,"DEM",13.4287135809136,192490
"57","DEM",163590,1501063.31,"DEM",14.2216842882737,163590
"58","DEM",112679,76513.51,"DEM",11.2452226055296,112679
"59","DEM",106554,613085.03,"DEM",13.3262589165549,106554
"60","DEM",128164,999113.21,"DEM",13.8146233745334,128164
"61","DEM",104689,159128.08,"DEM",11.9774646915247,104689
"62","DEM",167017,1050764.92,"DEM",13.8650289521479,167017
"63","DEM",93124,1896569.59,"DEM",14.4555573333477,93124
"64","DEM",85289,1941619.49,"DEM",14.479032971457,85289
"65","DEM",129231,117761.42,"DEM",11.6764159923139,129231
"66","DEM",115248,918038.25,"DEM",13.7299943354013,115248
"67","DEM",49345,273993.85,"DEM",12.5208609398628,49345
"68","DEM",154759,590221.68,"DEM",13.2882534741271,154759
"69","DEM",127715,102343.67,"DEM",11.5360917425721,127715
"70","DEM",154267,2051589.43,"DEM",14.5341253824076,154267
"71","DEM",103646,23654.09,"DEM",10.0712913176571,103646
"72","DEM",145162,1069031.38,"DEM",13.8822635441133,145162
"73","DEM",181253,2600005.82,"DEM",14.7710242414507,181253
"74","DEM",198988,470870.68,"DEM",13.0623387705429,198988
"75","DEM",257254,1176316.68,"DEM",13.9778986569041,257254
"76","DEM",260175,1331751.71,"DEM",14.1020057088032,260175
"77","DEM",150914,1685037.24,"DEM",14.3372982224146,150914
"78","DEM",123642,73644.44,"DEM",11.2070039268483,123642
"79","DEM",111676,13779.54,"DEM",9.53094016229784,111676
"80","DEM",160372,3132175.95,"DEM",14.9572385126758,160372
"81","DEM",199758,1738254.37,"DEM",14.3683919319808,199758
"82","DEM",187021,1615369.72,"DEM",14.2950744172313,187021
"83","DEM",13665,1615369.72,"DEM",14.2950744172313,13665
"84","DEM",186210,1154847.28,"DEM",13.9594786680873,186210
"85","DEM",22608,1154847.28,"DEM",13.9594786680873,22608
"86","DEM",192274,1150878.91,"DEM",13.9560364779994,192274
"87","DEM",21298,1150878.91,"DEM",13.9560364779994,21298
"88","DEM",187811,1144648.03,"DEM",13.9506077503343,187811
"89","DEM",163499,1447329.34,"DEM",14.1852305816513,163499
"90","DEM",15753,1447329.34,"DEM",14.1852305816513,15753
"91","DEM",233554,1451279.77,"DEM",14.1879563251344,233554
"92","DEM",265178,466613.21,"DEM",13.053255949356,265178
"93","DEM",114079,54600.77,"DEM",10.9078032641977,114079
"94","DEM",102801,136763.01,"DEM",11.8260048528705,102801
"95","DEM",136338,602081.92,"DEM",13.3081487947672,136338
"96","DEM",12519,7757,"DEM",8.95635094049087,12519
"97","DEM",113088,50194.24,"DEM",10.8236555580607,113088
"98","DEM",194549,395395.74,"DEM",12.8876424157608,194549
"99","DEM",151051,42518.11,"DEM",10.6576853817972,151051
"100","DEM",182039,1071897.72,"DEM",13.8849412056133,182039
"101","DEM",127127,61906,"DEM",11.0333723845083,127127
"102","DEM",195311,1189875.53,"DEM",13.9893592629784,195311
"103","DEM",198491,14388.35,"DEM",9.57417413034672,198491
"104","DEM",124713,57243.04,"DEM",10.9550613419736,124713
"105","DEM",116110,44032,"DEM",10.692671921293,116110
"106","DEM",184693,1983386.46,"DEM",14.5003162750496,184693
"107","DEM",195789,847945.54,"DEM",13.6505716910136,195789
"108","DEM",135475,37571.54,"DEM",10.5340021278797,135475
"109","DEM",155262,55021.43,"DEM",10.9154780246897,155262
"110","DEM",115974,149553.82,"DEM",11.9154116070284,115974
"111","DEM",161918,10862988.41,"DEM",16.2008720104909,161918
"112","DEM",123812,15122.46,"DEM",9.62393633491227,123812
"113","DEM",222914,843089.12,"DEM",13.6448279490712,222914
"114","DEM",210606,904770.06,"DEM",13.7154361130509,210606
"115","DEM",199113,1715240.17,"DEM",14.3550636695937,199113
"116","DEM",183225,4242401.09,"DEM",15.2606399617351,183225
"117","DEM",95319,37577.3,"DEM",10.5341554236594,95319
"118","DEM",115493,1401133.03,"DEM",14.1527917744159,115493
"119","DEM",129760,888454.46,"DEM",13.6972386703392,129760
"120","DEM",148543,1058907.1,"DEM",13.8727478964674,148543
"121","DEM",220146,450610.66,"DEM",13.0183589640462,220146
"122","DEM",253781,1058522.33,"DEM",13.872384465225,253781
"123","DEM",124917,0,"DEM",0,124917
"124","DEM",99420,10440,"DEM",9.25339986143663,99420
"125","DEM",252833,938788.3,"DEM",13.752345280163,252833
"126","DEM",18345,191715.54,"DEM",12.163767989911,18345
"127","DEM",145417,489871.41,"DEM",13.101898207075,145417
"128","DEM",129083,489871.41,"DEM",13.101898207075,129083
"129","DEM",170848,1295662.48,"DEM",14.0745326898773,170848
"130","DEM",113052,320424.19,"DEM",12.6774009907022,113052
"131","DEM",234037,621691.5,"DEM",13.3401992679748,234037
"132","DEM",235051,838787.75,"DEM",13.6397129737068,235051
"133","DEM",225320,675798.29,"DEM",13.4236499229247,225320
"134","DEM",171297,560492.3,"DEM",13.2365707836658,171297
"135","DEM",212842,829547.64,"DEM",13.6286358191515,212842
"136","DEM",143591,104678.51,"DEM",11.5586491226872,143591
"137","DEM",250584,503244.38,"DEM",13.1288311760279,250584
"138","DEM",144954,2646752.35,"DEM",14.7888439180866,144954
"139","DEM",217306,1307371.56,"DEM",14.0835292368264,217306
"140","DEM",150435,5057592.74,"DEM",15.436401184979,150435
"141","DEM",166578,1761939.94,"DEM",14.3819259986317,166578
"142","DEM",124246,995539.36,"DEM",13.8110399396254,124246
"143","DEM",126811,23337.01,"DEM",10.0577957913789,126811
"144","DEM",137589,22725.36,"DEM",10.0312367605044,137589
"145","DEM",173125,2183498.35,"DEM",14.59643889624,173125
"146","DEM",96770,61943,"DEM",11.0339698863227,96770
"147","DEM",207515,949664.81,"DEM",13.7638643697381,207515
"148","DEM",102401,649084.99,"DEM",13.3833189424282,102401
"149","DEM",123849,147903.43,"DEM",11.9043148397755,123849
"150","DEM",158739,983464.71,"DEM",13.7988370341136,158739
"151","DEM",93356,11249,"DEM",9.32803451479283,93356
"152","DEM",130627,1419849.79,"DEM",14.166061642292,130627
"153","DEM",177403,2945150.95,"DEM",14.895670630121,177403
"154","DEM",198571,699336.2,"DEM",13.4578868784039,198571
"155","DEM",155002,1961681.69,"DEM",14.4893126684328,155002
"156","DEM",142993,149415.31,"DEM",11.9144850230034,142993
"157","DEM",67739,147481.62,"DEM",11.901458836828,67739
"158","DEM",139300,569870.49,"DEM",13.2531644034682,139300
"159","DEM",81495,264191.25,"DEM",12.4844285516726,81495
"160","DEM",81710,17415.92,"DEM",9.76514000942657,81710
"161","DEM",80813,17415.92,"DEM",9.76514000942657,80813
"162","DEM",212401,768222.18,"DEM",13.5518342671665,212401
