"","can_party","general_votes","ttl_disb","state"
"65","DEM",0.766694155603852,0.227007398902918,"CA"
"66","REP",-0.824744333916774,-0.861405547568773,"CA"
"67","DEM",-0.490758532233525,0.537355701264017,"CA"
"68","REP",-0.826435779102926,-0.425662483957852,"CA"
"69","DEM",0.0663612259552424,2.06190019454398,"CA"
"70","DEM",-0.572209080204911,1.50999304960554,"CA"
"71","DEM",1.16321368078689,0.18372684699946,"CA"
"72","REP",-0.540544231352391,-0.840943098726896,"CA"
"73","DEM",0.558049417053238,0.0578273929582483,"CA"
"74","REP",-0.906306815760773,-0.857537523588914,"CA"
"75","DEM",0.547826123354585,-0.0221991523161299,"CA"
"76","REP",-0.772608023473034,-0.529065308677341,"CA"
"77","REP",-0.76869033793158,1.38080516524598,"CA"
"78","DEM",-0.990617896032269,-0.341063035926192,"CA"
"79","REP",0.271411643485284,0.228769758760837,"CA"
"80","REP",0.375398211142752,5.62403370163164,"CA"
"81","DEM",-0.776873947729285,-0.82983620167705,"CA"
"82","DEM",0.361941272235279,1.6178115130697,"CA"
"83","REP",0.0976032135112237,0.962584597946902,"CA"
"84","REP",0.0226697043453052,0.472899302512316,"CA"
"85","DEM",-0.18066439380467,0.491904120818803,"CA"
"86","DEM",0.401914101855074,0.745798266504163,"CA"
"87","REP",-0.321788132975737,-0.518729417740759,"CA"
"88","DEM",0.398543648579727,-0.209363862477913,"CA"
"89","REP",-0.687488531899334,-0.696412559866741,"CA"
"90","DEM",0.919732633659724,-0.0883133993774229,"CA"
"91","DEM",-0.10602937496572,0.422152361675664,"CA"
"92","DEM",-1.16305824534106,-0.805616057638328,"CA"
"93","DEM",0.850035142312702,-0.445522229140307,"CA"
"94","DEM",-0.197280355339221,0.736958453891793,"CA"
"95","REP",-0.523182044000421,-0.307786395230034,"CA"
"96","DEM",-0.273693879043022,-0.182357580905572,"CA"
"97","DEM",-0.811051090167118,-0.71326770333312,"CA"
"98","DEM",1.02562207715161,0.025435981208909,"CA"
"99","REP",-0.324735724954546,-0.803124993771302,"CA"
"100","DEM",-0.175241819531419,0.464102411873371,"CA"
"101","DEM",-1.25139894502662,-0.86190696617889,"CA"
"102","DEM",-0.160292428989106,-0.509440342954411,"CA"
"103","REP",-1.11465306398442,-0.85893012348025,"CA"
"104","DEM",0.0922303876258002,1.20688481237071,"CA"
"105","REP",-0.605229572625743,-0.574195733264372,"CA"
