"","can_party","general_votes","ttl_disb","state","lamvotes","tvotes","tdisb","disb","votes"
"1","REP",208083,1172750.28,"AL",5457.89243169687,0.996878677821556,0.0789487283288704,13.9748622149457,43298534889
"2","REP",134886,1850535.64,"AL",4081.72957148677,-0.0417716022524357,0.999127185720249,14.4309856902824,18194232996
"3","REP",192164,1071289.42,"AL",5174.40246332532,0.999882076810627,-0.0153568379839947,13.8843735463501,36927002896
"4","REP",235925,1394461.23,"AL",5937.10307389307,0.980574655039933,0.196146235990693,14.1480186835836,55660605625
"5","REP",205647,119723.76,"AL",5414.98804783924,0.744327159384867,-0.667815153917651,11.6929423680889,42290688609
"6","REP",245313,769978.37,"AL",6094.40944038468,0.983231752607502,-0.182360414192283,13.5541177025262,60178467969
"7","REP",155088,1322055.12,"AK",4481.96011993712,0.767278470714158,0.641314079354682,14.094697992927,24052287744
"8","REP",8923,75562.51,"AS",660.369536271305,-0.893115876558707,-0.449826667771902,11.2327155396979,79619929
"9","REP",121745,1293719.68,"AZ",3810.7230880487,-0.75071947048036,0.660621129424187,14.0730320999724,14821845025
"10","REP",179806,8004418.35,"AZ",4948.94970316593,0.096510824750706,0.995331934937254,15.895504240936,32330197636
"11","REP",203487,712872.46,"AZ",5376.80426983104,0.941827861511931,-0.33609564007863,13.4770578054155,41406959169
"12","REP",205184,947069.35,"AZ",5406.81447246813,0.991816538809497,-0.12767127062871,13.7611276007435,42100473856
"13","REP",201578,806820.62,"AZ",5342.94610809441,0.964320853959388,-0.264736266157543,13.6008566424946,40633690084
"14","REP",39286,32120.36,"AZ",1785.26051033822,-0.823580203901273,-0.567199830520018,10.377245375968,1543389796
"15","REP",204942,360898.55,"AZ",5402.539901165,0.826959689571271,-0.562261213160028,12.7963521728894,42001223364
"16","REP",108350,273722.04,"AZ",3524.33098482841,-0.483035713852623,-0.875600650492499,12.5198684179102,11739722500
"17","REP",183866,808955.49,"AR",5023.56633414795,0.936258901488304,-0.351310787457366,13.6034991759856,33806705956
"18","REP",176472,1640764.53,"AR",4887.25925799231,0.743722387661828,0.668488601316873,14.310672868003,31142366784
"19","REP",217192,568200.63,"AR",5616.88035116013,0.92489515815879,-0.380222232930198,13.2502298571661,47172364864
"20","REP",182885,464458.86,"AR",5005.58728986738,0.757336311228633,-0.65302504675901,13.0486282649606,33446923225
"21","REP",185448,808869.52,"CA",5052.49353134269,0.939953414602116,-0.3413027664374,13.603392897495,34390960704
"22","REP",76572,4228,"CA",2792.6727375082,-0.658244569820832,-0.752804148700967,8.34948434699013,5863271184
"23","REP",104453,380024.03,"CA",3438.8541753645,-0.585085104292562,-0.810971898856528,12.8479897665453,10910429209
"24","REP",220133,1000517.91,"CA",5667.73971683093,0.997923270502548,-0.0644138664380468,13.8160283338952,48458537689
"25","REP",67565,2700,"CA",2567.94929603485,-0.70832271525406,-0.705888752605618,7.90100705199242,4565029225
"26","REP",57848,2805,"CA",2314.08000329517,-0.752937714450356,-0.658091785511926,7.9391588179568,3346391104
"27","REP",145168,1355340.14,"CA",4287.73115241295,0.429794152997912,0.90292689961525,14.1195630066245,21073748224
"28","REP",136972,909665.99,"CA",4123.93061348042,0.00355670623728737,-0.999993674900367,13.7208327671599,18761328784
"29","REP",98992,67038.68,"CA",3317.27828629289,-0.504001957870339,-0.863702510395139,11.1130250452246,9799416064
"30","REP",124671,4183054.63,"CA",3871.86907534057,-0.0618111805143435,0.998087860843635,15.2465523103438,15542858241
"31","REP",83341,7789.5,"CA",2955.84251682722,-0.614492561046129,-0.788922614974986,8.96053195195248,6945722281
"32","REP",29754,4521,"CA",1481.71043667768,-0.840777782607534,-0.541380384086419,8.41648848729461,885300516
