"","can_party","general_votes","ttl_disb","novotes","nodisb"
"377",-1.05838777186202,-0.425202594173183,-0.823659999105934,-0.724085639751608,-1.15888627247156
"378",0.311290521135888,0.931013080599722,-0.508937207783239,1.08196739518213,-0.536487247234835
"379",-1.05838777186202,-0.113541381527747,-0.653850722540693,-0.33531019438642,-1.3060275987078
"380",1.6809688141338,-1.37677731945013,-0.817937278588056,-1.26611095136805,-0.583821087681852
"381",1.6809688141338,-1.59933916949562,-0.855067582959319,-1.29605083497308,-0.524043335554923
"382",-1.05838777186202,0.756732040941296,0.232642272819382,1.18793055761434,0.640840803058282
"383",0.311290521135888,0.0920562682684022,0.775149600942284,0.0553478173601201,1.70500218580339
"384",1.6809688141338,-1.53655670405669,-0.856989662465801,-1.28452618583018,-0.547805810553314
"385",-1.05838777186202,0.939942916214847,0.178375388439088,1.22390638119233,0.477354798124059
"386",0.311290521135888,-0.330096113743013,-0.84912307639546,-0.593806638215336,-1.22504430753866
"387",-1.05838777186202,0.828469216189266,-0.226703489408072,1.1996768271722,-0.208149005674739
"388",0.311290521135888,-0.106116434644419,-0.840999014113864,-0.273264180742751,-1.31649595877453
"389",-1.05838777186202,0.716871145194115,-0.0310037436386982,1.24634488948248,0.127811822390118
"390",1.6809688141338,-0.443447815409101,-0.851806895764324,-0.728210361061697,-1.1564784118289
"391",0.311290521135888,0.725664172742713,-0.300398491282869,1.14482848285603,-0.388584909914856
"392",-1.05838777186202,0.700541236889575,1.16211064572604,0.593766856031207,1.49709750776257
"393",0.311290521135888,-0.21083679102235,0.0536380462323265,-1.413989882163,0.568840346982859
"394",1.6809688141338,-1.50096173256576,-0.854651952666758,-1.27864912220185,-0.559548967937997
"395",-1.05838777186202,0.589378464287918,1.18462718238778,0.49802709460655,1.55628442348868
"396",0.311290521135888,-0.0363443207156548,1.17383443985218,-0.145884682054192,1.71489424662985
"397",-1.05838777186202,0.854388126247652,0.402808371566955,1.11854417333067,0.842640212833139
"398",0.311290521135888,0.0853029246207518,-0.248680215300164,0.334511513228049,-1.24612367518894
"399",1.6809688141338,-1.67505621576983,-0.861908396646436,-1.30593918829884,-0.502816130426524
"400",0.311290521135888,0.780163531608282,0.155149053780975,1.22164684348182,0.490448748878927
"401",-1.05838777186202,0.972577858630013,2.29360848792905,0.423621504533743,1.59484787720493
"402",0.311290521135888,-0.333566063794015,-0.823423956066744,-0.611548218302683,-1.21711503640152
"403",-1.05838777186202,0.795224856023208,0.23225474326706,1.19340289204595,0.620281769211687
"404",0.311290521135888,0.193132555237933,0.0675879975300417,1.17174000924052,0.696329903966128
"405",1.6809688141338,-1.49645950346733,-0.820485847250436,-1.28925945445142,-0.538167608167091
